id,BusinessSector,BusinessFunction,MeasuringElt,Rating,SUbCategory,Questions,Answers ,RateAnswer ,MAXIMUM RATING
1,MINING,"Exploration and Geology, Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,90,Data Collection,,Basic,1,5
2,MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,90,Data Storage,,Basic,1,5
3,MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,90,Data Management,,Reactive,2,5
4,MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,90,Data Analysis,,Planned,3,5
5,MINING,"Exploration and Geology,Mining Operations,Health  Safety  and Environment (HSE),Supply Chain and Logistics,Finance and Accounting,Corporate Development and Strategy",Data Utilization and Analytics,90,Use of ML,,Proactive,4,5
6,MINING,Mining Operations,Automation and Robotics,80,Automation of the drilling production process,,Resilent,5,5
7,MINING,Mining Operations,Automation and Robotics,80,"Utilization of advanced production technologies e.g., additive manufacturing",,,,
8,MINING,Mining Operations,Automation and Robotics,80,Automation of the blasting production process,,Basic,1,5
9,MINING,Mining Operations,Automation and Robotics,80,Automation of the loading production process,,Reactive,2,5
10,MINING,Mining Operations,Automation and Robotics,80,Use of digital device for seismicity measurement for geotechnical analysis,,,,
11,MINING,Mining Operations,Automation and Robotics,80,Use of digital device and technology in ascertaining rock properties for geotechnical analysis,,,,
12,MINING,Mining Operations,Automation and Robotics,80,Use of technology for the loading and hauling and hoisting fuel cost,,,,
13,MINING,Mining Operations,Automation and Robotics,80,Stability risk analysis,,,,
14,MINING,Mining Operations,Automation and Robotics,80,Continuous geotechnical monitoring,,,,
15,MINING,Mining Operations,Automation and Robotics,80,Automating the type of mining method as per the rock quality,,,,
16,MINING,Mining Operations,Automation and Robotics,80,Digital device in slope geometry,,,,
17,MINING,Mining Operations,Automation and Robotics,80,Automation of the hauling production process,,Planned,3,5
18,MINING,Mining Operations,Automation and Robotics,80,Debottlenecking,,,,
19,MINING,Mining Operations,Automation and Robotics,80,Value Chain Visualisation,,,,
20,MINING,Mining Operations,Automation and Robotics,80,Pit to Port,,,,
21,MINING,Mining Operations,Automation and Robotics,80,Automation of the hoisting production process,,Proactive,4,5
22,MINING,Mining Operations,Internet of Things (IoT) Integration,70,Equipment performance,,Resilent,5,5
23,MINING,Mining Operations,Internet of Things (IoT) Integration,70,Environmental conditions,,Basic,1,5
24,MINING,Mining Operations,Internet of Things (IoT) Integration,70,digital communication Utilization with stakeholders,,,,
25,MINING,Mining Operations,Internet of Things (IoT) Integration,70,"Collect, update, and distribute project documents through digital platform",,,,
26,MINING,Mining Operations,Internet of Things (IoT) Integration,70,"Computer-aided calculation, optimization, and simulation",,,,
27,MINING,Mining Operations,Internet of Things (IoT) Integration,70,"Utilize IoT-solutions, advanced analytics, or artificial intelligence",,,,
28,MINING,Mining Operations,Internet of Things (IoT) Integration,70,Digitally monitor problem issues and solving process,,,,
29,MINING,Mining Operations,Internet of Things (IoT) Integration,70,Decision making,,Planned,3,5
30,MINING,Mining Operations,Internet of Things (IoT) Integration,70,Workflow optimization,,Proactive,4,5
31,MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,60,Predictive Maintenance,,Resilent,5,5
32,MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,60,Asset Optimization,,Basic,1,5
33,MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,60,Power Plant Simulation,,Reactive,2,5
34,MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,60,Grid Simulation,,,,
35,MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,60,Building Energy Management,,,,
36,MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,60,Demand Response Optimization,,,,
37,MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,60,Wind and Solar Farm Modeling,,,,
38,MINING,"Mining Operations,Health  Safety  and Environment (HSE),Processing and Metallurgy,Supply Chain and Logistics",Digital Twin Technologies,60,Energy Storage Optimization,,,,
